search_query,href,title
Weather-Resistant Finishes,https://www.indiamart.com/proddetail/berger-weathercoat-glow-emulsion-paint-25142098248.html?pos=9&kwd=weather%20resistant%20finishes&tags=rk:T||dt:74|db:02|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_100_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:18684|com-cf:nl|ptrs:na|mc:27799|cat:202|qry_typ:P|lang:en|rtn:4-0-0-0-1-4-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ms|pfen:1|gli:G0I1|v=4|crs=xnh-city|r=4,
Weather-Resistant Finishes,https://www.indiamart.com/valarmathitraders-coimbatore/?pos=9&kwd=weather%20resistant%20finishes&tags=rk:T||dt:74|db:02|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_100_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:18684|com-cf:nl|ptrs:na|mc:27799|cat:202|qry_typ:P|lang:en|rtn:4-0-0-0-1-4-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ms|pfen:1|gli:G0I1|v=4|crs=xnh-city,
Weather-Resistant Finishes,https://www.indiamart.com/proddetail/berger-walmasta-glow-exterior-emulsion-paint-2850323513262.html?pos=10&kwd=weather%20resistant%20finishes&tags=rk:T||dt:74|db:02|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_100_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:18684|com-cf:nl|ptrs:na|mc:27799|cat:202|qry_typ:P|lang:en|rtn:4-0-0-0-1-4-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ms|pfen:1|gli:G0I1|v=4|crs=xnh-city,
Weather-Resistant Finishes,https://www.indiamart.com/shriharihardwareselectricals/?pos=10&kwd=weather%20resistant%20finishes&tags=rk:T||dt:74|db:02|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_100_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:18684|com-cf:nl|ptrs:na|mc:27799|cat:202|qry_typ:P|lang:en|rtn:4-0-0-0-1-4-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ms|pfen:1|gli:G0I1|v=4|crs=xnh-city,
Steel Frame Systems,https://www.indiamart.com/proddetail/residential-building-steel-framing-system-2853128468862.html?pos=1&kwd=steel%20frame%20systems&tags=rk:B||dt:74|db:02||dtp:p|pfs:1|sv:T|rsf:gd|ri:T_B_100_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:3|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:17952|com-cf:nl|ptrs:na|mc:86179|cat:816|qry_typ:P|lang:en|rtn:5-0-0-1-0-3-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ls|pfen:1|gli:G0I1|v=4|crs=xnh-city|r=5,Residential Building Steel Framing System
Steel Frame Systems,https://www.indiamart.com/citadel-building-systems/?pos=1&kwd=steel%20frame%20systems&tags=rk:B||dt:74|db:02||dtp:p|pfs:1|sv:T|rsf:gd|ri:T_B_100_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:3|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:17952|com-cf:nl|ptrs:na|mc:86179|cat:816|qry_typ:P|lang:en|rtn:5-0-0-1-0-3-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ls|pfen:1|gli:G0I1|v=4|crs=xnh-city,Citadel Building Systems
Steel Frame Systems,https://www.indiamart.com/k-s-engineering-and-automations/?pos=2&kwd=steel%20frame%20systems&tags=rk:C||dt:16|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:3|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:17952|com-cf:nl|ptrs:na|mc:86179|cat:816|qry_typ:P|lang:en|rtn:5-0-0-1-0-3-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ls|pfen:1|gli:G0I1|v=4|crs=xnh-city,K S Engineering And Automation
Steel Frame Systems,https://www.indiamart.com/sri-nivi-furniture/?pos=3&kwd=steel%20frame%20systems&tags=rk:C||dt:32|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:3|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:17952|com-cf:nl|ptrs:na|mc:86179|cat:816|qry_typ:P|lang:en|rtn:5-0-0-1-0-3-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ls|pfen:1|gli:G0I1|v=4|crs=xnh-city,Sri Nivi Furniture
Steel Frame Systems,https://www.indiamart.com/company/183282555/?pos=4&kwd=steel%20frame%20systems&tags=rk:C||dt:32|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:3|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:17952|com-cf:nl|ptrs:na|mc:86179|cat:816|qry_typ:P|lang:en|rtn:5-0-0-1-0-3-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ls|pfen:1|gli:G0I1|v=4|crs=xnh-city,Everpro Engineering
Steel Frame Systems,https://www.indiamart.com/v-s-n-furniture/?pos=5&kwd=steel%20frame%20systems&tags=rk:C||dt:32|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:3|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:17952|com-cf:nl|ptrs:na|mc:86179|cat:816|qry_typ:P|lang:en|rtn:5-0-0-1-0-3-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ls|pfen:1|gli:G0I1|v=4|crs=xnh-city,V S N Furniture
